condition,train_script,test_script,vocab_size_requested,vocab_size_model,lang,n_words,fertility,fragmentation_rate,coverage,model_path,test_path
tt_only,native,native,4000,4000,tt,1962331,1.784819686,0.1527163358,0.9975029697,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/tt_only/native/vocab_4000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
tt_only,native,normalized,4000,4000,tt,1962331,4.672477273,0.8061203742,0.9306151714,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/tt_only/native/vocab_4000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
transfer_tr,native,native,4000,4000,tt,1962331,6.938697396,0.9040539032,0.3230341874,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr/native/vocab_4000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
transfer_tr,native,normalized,4000,4000,tt,1962331,4.079903951,0.7659518195,0.9556654815,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr/native/vocab_4000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
transfer_tr_kk,native,native,4000,4000,tt,1962331,4.373467575,0.7975265131,0.9607762401,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk/native/vocab_4000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
transfer_tr_kk,native,normalized,4000,4000,tt,1962331,4.182174669,0.7844915053,0.8951033235,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk/native/vocab_4000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
transfer_tr_kk_tt,native,native,4000,4000,tt,1962331,2.281117712,0.2905065455,0.9993380322,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk_tt/native/vocab_4000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
transfer_tr_kk_tt,native,normalized,4000,4000,tt,1962331,4.180976604,0.7829555768,0.9558902142,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk_tt/native/vocab_4000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
byte_fallback_bpe,native,native,4000,4000,tt,1962331,2.325626513,0.3491194911,1,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/byte_fallback_bpe/native/vocab_4000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
byte_fallback_bpe,native,normalized,4000,4000,tt,1962331,3.928787753,0.7543951556,1,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/byte_fallback_bpe/native/vocab_4000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
tt_only,native,native,8000,8000,tt,1962331,1.560220982,0.1108324742,0.997631898,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/tt_only/native/vocab_8000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
tt_only,native,normalized,8000,8000,tt,1962331,3.799124613,0.7188542606,0.9305530005,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/tt_only/native/vocab_8000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
tt_only,native,native,16000,16000,tt,1962331,1.484995141,0.08879388849,0.997631898,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/tt_only/native/vocab_16000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
tt_only,native,normalized,16000,16000,tt,1962331,3.320265541,0.6393024418,0.9305530005,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/tt_only/native/vocab_16000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
tt_only,native,native,32000,32000,tt,1962331,1.434727373,0.0725443363,0.997631898,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/tt_only/native/vocab_32000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
tt_only,native,normalized,32000,32000,tt,1962331,2.957142806,0.5450023467,0.9305530005,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/tt_only/native/vocab_32000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
transfer_tr,native,native,8000,8000,tt,1962331,6.860981149,0.8938069062,0.2974844713,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr/native/vocab_8000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
transfer_tr,native,normalized,8000,8000,tt,1962331,3.783401475,0.7262928629,0.9556777119,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr/native/vocab_8000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
transfer_tr,native,native,16000,16000,tt,1962331,6.335654382,0.8901072245,0.2974844713,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr/native/vocab_16000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
transfer_tr,native,normalized,16000,16000,tt,1962331,3.567405805,0.7039974398,0.9556777119,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr/native/vocab_16000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
transfer_tr,native,native,32000,32000,tt,1962331,5.862348401,0.885199286,0.2974844713,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr/native/vocab_32000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
transfer_tr,native,normalized,32000,32000,tt,1962331,3.403308616,0.673934214,0.9556777119,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr/native/vocab_32000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
transfer_tr_kk,native,native,8000,8000,tt,1962331,4.038702441,0.7528576983,0.9612690214,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk/native/vocab_8000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
transfer_tr_kk,native,normalized,8000,8000,tt,1962331,3.879495865,0.7407251886,0.9554280088,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk/native/vocab_8000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
transfer_tr_kk,native,native,16000,16000,tt,1962331,3.640945386,0.6906393468,0.9612690214,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk/native/vocab_16000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
transfer_tr_kk,native,normalized,16000,16000,tt,1962331,3.69209323,0.7179787712,0.9554280088,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk/native/vocab_16000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
transfer_tr_kk,native,native,32000,32000,tt,1962331,3.354942158,0.6423330213,0.9612690214,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk/native/vocab_32000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
transfer_tr_kk,native,normalized,32000,32000,tt,1962331,3.4491067,0.6831778125,0.9554280088,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk/native/vocab_32000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
transfer_tr_kk_tt,native,native,8000,8000,tt,1962331,1.864401062,0.1973306236,0.9993405802,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk_tt/native/vocab_8000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
transfer_tr_kk_tt,native,normalized,8000,8000,tt,1962331,3.784453795,0.7038807418,0.9558927622,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk_tt/native/vocab_8000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
transfer_tr_kk_tt,native,native,16000,16000,tt,1962331,1.677938126,0.1466337738,0.9993405802,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk_tt/native/vocab_16000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
transfer_tr_kk_tt,native,normalized,16000,16000,tt,1962331,3.381846386,0.6638278659,0.9558927622,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk_tt/native/vocab_16000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
transfer_tr_kk_tt,native,native,32000,32000,tt,1962331,1.574124345,0.1171331442,0.9993405802,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk_tt/native/vocab_32000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
transfer_tr_kk_tt,native,normalized,32000,32000,tt,1962331,3.114598404,0.6083728994,0.9558927622,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk_tt/native/vocab_32000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
byte_fallback_bpe,native,native,8000,8000,tt,1962331,1.927976982,0.2358939445,1,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/byte_fallback_bpe/native/vocab_8000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
byte_fallback_bpe,native,normalized,8000,8000,tt,1962331,3.624279492,0.7101544031,1,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/byte_fallback_bpe/native/vocab_8000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
byte_fallback_bpe,native,native,16000,16000,tt,1962331,1.644739343,0.1569775945,1,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/byte_fallback_bpe/native/vocab_16000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
byte_fallback_bpe,native,normalized,16000,16000,tt,1962331,3.309898279,0.6500355954,1,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/byte_fallback_bpe/native/vocab_16000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
byte_fallback_bpe,native,native,32000,32000,tt,1962331,1.512533818,0.1177242779,1,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/byte_fallback_bpe/native/vocab_32000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
byte_fallback_bpe,native,normalized,32000,32000,tt,1962331,3.057795041,0.5988566659,1,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/byte_fallback_bpe/native/vocab_32000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
tt_only,normalized,native,8000,8000,tt,1962331,2.136630874,0.1848745191,0.1291596576,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/tt_only/normalized/vocab_8000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
tt_only,normalized,normalized,8000,8000,tt,1962331,1.601493326,0.1279396799,0.9975666694,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/tt_only/normalized/vocab_8000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
tt_only,normalized,native,16000,16000,tt,1962331,2.126381329,0.1828498862,0.1291596576,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/tt_only/normalized/vocab_16000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
tt_only,normalized,normalized,16000,16000,tt,1962331,1.533896677,0.1080638282,0.9975666694,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/tt_only/normalized/vocab_16000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
tt_only,normalized,native,32000,32000,tt,1962331,2.118967187,0.1805072641,0.1291596576,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/tt_only/normalized/vocab_32000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
tt_only,normalized,normalized,32000,32000,tt,1962331,1.488920575,0.09340320262,0.9975666694,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/tt_only/normalized/vocab_32000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
transfer_tr,normalized,native,8000,8000,tt,1962331,6.860884835,0.8937890702,0.2974681641,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr/normalized/vocab_8000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
transfer_tr,normalized,normalized,8000,8000,tt,1962331,3.783641496,0.726735194,0.9556756735,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr/normalized/vocab_8000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
transfer_tr,normalized,native,16000,16000,tt,1962331,6.335570299,0.8901026381,0.2974681641,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr/normalized/vocab_16000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
transfer_tr,normalized,normalized,16000,16000,tt,1962331,3.569810598,0.7037900334,0.9556756735,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr/normalized/vocab_16000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
transfer_tr,normalized,native,32000,32000,tt,1962331,5.862291326,0.885196738,0.2974681641,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr/normalized/vocab_32000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
transfer_tr,normalized,normalized,32000,32000,tt,1962331,3.396944246,0.6735010556,0.9556756735,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr/normalized/vocab_32000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
transfer_tr_kk,normalized,native,8000,8000,tt,1962331,6.549450628,0.8671345456,0.1775312116,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk/normalized/vocab_8000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
transfer_tr_kk,normalized,normalized,8000,8000,tt,1962331,3.558467455,0.6905037937,0.9578924249,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk/normalized/vocab_8000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
transfer_tr_kk,normalized,native,16000,16000,tt,1962331,6.085494751,0.8593937516,0.1775312116,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk/normalized/vocab_16000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
transfer_tr_kk,normalized,normalized,16000,16000,tt,1962331,3.318234793,0.6401442978,0.9578924249,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk/normalized/vocab_16000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
transfer_tr_kk,normalized,native,32000,32000,tt,1962331,5.746641622,0.8543573943,0.1775312116,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk/normalized/vocab_32000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
transfer_tr_kk,normalized,normalized,32000,32000,tt,1962331,3.089446174,0.5813346474,0.9578924249,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk/normalized/vocab_32000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
transfer_tr_kk_tt,normalized,native,8000,8000,tt,1962331,6.329852609,0.8459536133,0.1526735296,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk_tt/normalized/vocab_8000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
transfer_tr_kk_tt,normalized,normalized,8000,8000,tt,1962331,1.844289776,0.1985011703,0.9994170199,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk_tt/normalized/vocab_8000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
transfer_tr_kk_tt,normalized,native,16000,16000,tt,1962331,6.056491999,0.8419293177,0.1526735296,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk_tt/normalized/vocab_16000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
transfer_tr_kk_tt,normalized,normalized,16000,16000,tt,1962331,1.691526047,0.1545947141,0.9994170199,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk_tt/normalized/vocab_16000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
transfer_tr_kk_tt,normalized,native,32000,32000,tt,1962331,5.562745021,0.8375136509,0.1526735296,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk_tt/normalized/vocab_32000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
transfer_tr_kk_tt,normalized,normalized,32000,32000,tt,1962331,1.609321771,0.1295015978,0.9994170199,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/transfer_tr_kk_tt/normalized/vocab_32000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
byte_fallback_bpe,normalized,native,8000,8000,tt,1962331,9.282497703,0.8933717095,1,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/byte_fallback_bpe/normalized/vocab_8000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
byte_fallback_bpe,normalized,normalized,8000,8000,tt,1962331,1.865534917,0.223014364,1,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/byte_fallback_bpe/normalized/vocab_8000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
byte_fallback_bpe,normalized,native,16000,16000,tt,1962331,9.260339871,0.8887756449,1,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/byte_fallback_bpe/normalized/vocab_16000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
byte_fallback_bpe,normalized,normalized,16000,16000,tt,1962331,1.642484372,0.1579432828,1,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/byte_fallback_bpe/normalized/vocab_16000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
byte_fallback_bpe,normalized,native,32000,32000,tt,1962331,8.757146475,0.885758315,1,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/byte_fallback_bpe/normalized/vocab_32000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/native_script/splits/tt/test.txt
byte_fallback_bpe,normalized,normalized,32000,32000,tt,1962331,1.534752292,0.1256775743,1,/Users/lana/NLP_casestudy/turkic_corpus/outputs/experiments/byte_fallback_bpe/normalized/vocab_32000/spm.model,/Users/lana/NLP_casestudy/turkic_corpus/data/processed/normalized_script/splits_sanitized/tt/test.txt
